psi,s2,q2,s3,q3,rho,tE,cad,bin_box,planet_box,contour_threshold,alpha_density,n_pot
0.0,0.2,0.925,2.85,3.162277660168379e-07,0.001,20,12,0.5,0.03,0.05,10,5
30.0,0.2,0.925,2.85,3.162277660168379e-07,0.001,20,12,0.5,0.03,0.05,10,5
60.0,0.2,0.925,2.85,3.162277660168379e-07,0.001,20,12,0.5,0.03,0.05,10,5
90.0,0.2,0.925,2.85,3.162277660168379e-07,0.001,20,12,0.5,0.03,0.05,10,5
0.0,0.2,0.925,0.5,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,0.5,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,0.5,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,0.5,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.5455555555555556,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,0.5455555555555556,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,0.5455555555555556,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,0.5455555555555556,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.5911111111111111,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,0.5911111111111111,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,0.5911111111111111,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,0.5911111111111111,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.6366666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.6366666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,0.6366666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,0.6366666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,0.6822222222222223,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,0.6822222222222223,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
